Designator,Footprint,Quantity,Value,LCSC Part #
J1,USB_Micro-B_Amphenol_10118193-0001LF_Horizontal,1,USB_B_Mini,
"J2, J3",4-smd-pads,2,Conn_01x04_Pin,
J4,854-22-004-10-001101,1,Conn_01x04_Pin,
